#
 0,      exploit/True,40,  0.00,  0.00, *--                 |                   ,  0.00,  0.03
 0,            random,40,  0.00,  0.01, *  -                |                   ,  0.00,  0.02
 0,            random,30,  0.01,  0.02, *  ---              |                   ,  0.00,  0.04
 0,     exploit/False,40,  0.01,  0.01, *  ----             |                   ,  0.00,  0.06
 0,      exploit/True,30,  0.01,  0.01, *  --               |                   ,  0.00,  0.03
#
 1,      exploit/True,20,  0.01,  0.01,  * ----------       |                   ,  0.00,  0.08
 1,      EXPLORE/True,40,  0.01,  0.02,   * ----------------|--                 ,  0.00,  0.12
 1,     exploit/False,30,  0.02,  0.01,   *---------        |                   ,  0.00,  0.07
#
 2,     EXPLORE/False,30,  0.02,  0.02,    *------------    |                   ,  0.00,  0.12
 2,     EXPLORE/False,40,  0.02,  0.02,    *---------       |                   ,  0.00,  0.10
 2,            random,20,  0.02,  0.03,    *  -             |                   ,  0.00,  0.04
#
 3,     exploit/False,20,  0.02,  0.02, -- *  ------        |                   ,  0.00,  0.10
 3,      exploit/True,10,  0.02,  0.06, -  *          ------|---                ,  0.00,  0.18
 3,      EXPLORE/True,30,  0.02,  0.01, ---* ---------------|----               ,  0.00,  0.13
 3,      EXPLORE/True,20,  0.02,  0.02,    *--              |                   ,  0.00,  0.06
 3,     EXPLORE/False,20,  0.02,  0.02, --- *  ----         |                   ,  0.00,  0.06
#
 4,     exploit/False,10,  0.03,  0.02, ---  * -------------|-                  ,  0.00,  0.11
 4,     EXPLORE/False,10,  0.03,  0.03, ----  *  -----------|----               ,  0.00,  0.18
 4,            random,10,  0.03,  0.01,    -  *-------------|                   ,  0.00,  0.11
 4,      EXPLORE/True,10,  0.03,  0.03, ---   *  -----------|----               ,  0.00,  0.12
#
 5,        baseline,3840,  0.11,  0.03,  -----------------  |  *                ,  0.00,  0.15
