#
 0,      exploit/True,40,  0.23,  0.00, *                   |                   ,  0.23,  0.24
 0,      EXPLORE/True,40,  0.23,  0.00, *                   |                   ,  0.23,  0.26
 0,      exploit/True,20,  0.23,  0.01, *-                  |                   ,  0.23,  0.26
 0,      EXPLORE/True,30,  0.23,  0.00, *-                  |                   ,  0.23,  0.26
 0,     exploit/False,30,  0.23,  0.01, *-                  |                   ,  0.23,  0.26
 0,     exploit/False,40,  0.23,  0.01, *                   |                   ,  0.23,  0.25
 0,     EXPLORE/False,40,  0.23,  0.00, *                   |                   ,  0.23,  0.26
 0,     EXPLORE/False,30,  0.24,  0.00, *-                  |                   ,  0.23,  0.26
 0,      exploit/True,30,  0.24,  0.01, *-                  |                   ,  0.23,  0.26
#
 1,      exploit/True,10,  0.24,  0.02, * ----------------  |                   ,  0.23,  0.44
 1,            random,40,  0.24,  0.01, *-                  |                   ,  0.23,  0.26
 1,     EXPLORE/False,20,  0.24,  0.03,  * -----            |                   ,  0.23,  0.33
 1,      EXPLORE/True,20,  0.24,  0.01,  *-                 |                   ,  0.23,  0.28
 1,     exploit/False,20,  0.24,  0.01,  *-                 |                   ,  0.23,  0.27
#
 2,            random,20,  0.25,  0.01,  *                  |                   ,  0.23,  0.28
 2,            random,30,  0.25,  0.01,  *                  |                   ,  0.23,  0.25
 2,      EXPLORE/True,10,  0.25,  0.01, -*---               |                   ,  0.23,  0.39
 2,            random,10,  0.25,  0.01, -*--                |                   ,  0.23,  0.28
 2,     EXPLORE/False,10,  0.25,  0.01, -*--------------    |                   ,  0.23,  0.44
#
 3,     exploit/False,10,  0.25,  0.12,   *       ------    |                   ,  0.23,  0.44
#
 4,        baseline,4608,  0.45,  0.18,   -------         * |   --------------  ,  0.23,  0.70
