#
 0,     EXPLORE/False,40,  0.22,  0.08,        ---   *    --|-                  ,  0.09,  0.32
#
 1,     exploit/False,40,  0.25,  0.04,         -----   * --|                   ,  0.14,  0.31
 1,      EXPLORE/True,40,  0.25,  0.07,            -    *  -|                   ,  0.18,  0.30
#
 2,      exploit/True,40,  0.26,  0.03,              --  *--|                   ,  0.19,  0.31
 2,      exploit/True,30,  0.26,  0.06,            ---   *  |---                ,  0.19,  0.34
 2,     exploit/False,30,  0.27,  0.06,          ------  *  |---                ,  0.17,  0.37
#
 3,     EXPLORE/False,30,  0.27,  0.07,            --    *  |---                ,  0.18,  0.35
 3,      EXPLORE/True,30,  0.28,  0.04,              ---   *|---                ,  0.15,  0.34
#
 4,     exploit/False,20,  0.29,  0.04,                ---- * -----             ,  0.23,  0.48
 4,            random,40,  0.30,  0.05,             ------  |* ---              ,  0.18,  0.36
#
 5,      exploit/True,20,  0.30,  0.06,             -----   |* ---              ,  0.18,  0.37
 5,      EXPLORE/True,20,  0.31,  0.04,               ----- |* -----            ,  0.21,  0.37
 5,     EXPLORE/False,20,  0.31,  0.10,          -------    |*    ------        ,  0.14,  0.46
#
 6,            random,20,  0.32,  0.05,                    -|  *   --           ,  0.21,  0.41
 6,            random,30,  0.32,  0.06,                  ---|  *  ----          ,  0.09,  0.41
 6,      exploit/True,10,  0.33,  0.07,                  ---|-  *    ----       ,  0.23,  0.44
 6,     exploit/False,10,  0.35,  0.07,              -------|-   *   ---        ,  0.21,  0.45
 6,      EXPLORE/True,10,  0.35,  0.09,                -----|    *   ---        ,  0.19,  0.45
 6,            random,10,  0.35,  0.05,            ---------|--  *  --          ,  0.18,  0.41
#
 7,       baseline,65536,  0.36,  0.07,                   --|--   *   --        ,  0.09,  0.49
#
 8,     EXPLORE/False,10,  0.38,  0.03,                     | -----  *---       ,  0.24,  0.45
