#
 0,     exploit/False,40,  0.19,  0.03, ------------- *-----|---                ,  0.00,  0.35
 0,      exploit/True,40,  0.20,  0.01,              -*-    |                   ,  0.18,  0.23
 0,      EXPLORE/True,30,  0.20,  0.02,               *-----|-----              ,  0.03,  0.39
 0,      exploit/True,30,  0.20,  0.02,              -*--   |                   ,  0.18,  0.37
 0,     EXPLORE/False,40,  0.20,  0.01, ------------- *-----|---                ,  0.00,  0.33
 0,      EXPLORE/True,40,  0.20,  0.01,              -*-----|----               ,  0.00,  0.36
 0,     EXPLORE/False,30,  0.20,  0.02,    -----------*-----|--                 ,  0.00,  0.34
 0,     EXPLORE/False,20,  0.21,  0.02,   ------------ *----|-------            ,  0.00,  0.38
 0,      EXPLORE/True,20,  0.21,  0.03,              - * ---|-----              ,  0.18,  0.38
 0,     exploit/False,30,  0.22,  0.14,              - *    |   ---             ,  0.00,  0.38
 0,     exploit/False,20,  0.22,  0.12,              ---*   |    ---            ,  0.01,  0.40
 0,      exploit/True,20,  0.22,  0.14,                 *   |     ---           ,  0.19,  0.40
 0,            random,40,  0.23,  0.03,                 * --|------             ,  0.07,  0.40
 0,            random,30,  0.23,  0.02,                -*---|-------            ,  0.20,  0.41
#
 1,            random,20,  0.24,  0.14,               -- *  |      ---          ,  0.19,  0.43
#
 2,      EXPLORE/True,10,  0.27,  0.16,                --   *        --         ,  0.19,  0.42
 2,     exploit/False,10,  0.35,  0.13,               ----  |    * ---          ,  0.18,  0.42
 2,      exploit/True,10,  0.36,  0.14,               ---   |     * ----        ,  0.20,  0.44
#
 3,     EXPLORE/False,10,  0.39,  0.15,                 --  |        *--        ,  0.18,  0.45
 3,            random,10,  0.40,  0.13,                 ----|        *-         ,  0.21,  0.42
#
 4,       baseline,86058,  0.43,  0.06,                  ---|--------   * ---   ,  0.03,  0.54
