#
 0,      exploit/True,40,  0.20,  0.06, -- * ----           |                   ,  0.15,  0.30
#
 1,     exploit/False,40,  0.24,  0.07, ---  * --           |                   ,  0.15,  0.30
#
 2,     EXPLORE/False,30,  0.25,  0.08,  --   * -           |                   ,  0.17,  0.30
 2,      exploit/True,30,  0.27,  0.07,   --   *            |                   ,  0.15,  0.30
 2,      EXPLORE/True,40,  0.27,  0.05,    -   *-           |                   ,  0.17,  0.31
#
 3,     EXPLORE/False,20,  0.27,  0.06,   ---  * --         |                   ,  0.15,  0.37
#
 4,     EXPLORE/False,40,  0.27,  0.07,   --   * -          |                   ,  0.15,  0.32
 4,            random,30,  0.28,  0.04,     --  *-          |                   ,  0.19,  0.34
#
 5,      EXPLORE/True,30,  0.28,  0.07,   --    *           |                   ,  0.17,  0.32
 5,     exploit/False,20,  0.29,  0.10, ---     *-          |                   ,  0.15,  0.32
 5,      exploit/True,20,  0.29,  0.07,    -     *          |                   ,  0.15,  0.30
 5,      EXPLORE/True,20,  0.29,  0.02,     ---- *          |                   ,  0.22,  0.31
 5,     exploit/False,30,  0.29,  0.05,  ----    *          |                   ,  0.15,  0.31
 5,            random,40,  0.29,  0.05,    ---   *          |                   ,  0.20,  0.31
 5,     exploit/False,10,  0.29,  0.03,   ------ *--        |                   ,  0.15,  0.39
 5,            random,20,  0.29,  0.02,    ----- *          |                   ,  0.17,  0.31
 5,     EXPLORE/False,10,  0.30,  0.01,        --*--        |                   ,  0.22,  0.34
 5,      exploit/True,10,  0.30,  0.03,     ---- *--        |                   ,  0.20,  0.39
#
 6,      EXPLORE/True,10,  0.30,  0.02,        --*---       |                   ,  0.19,  0.39
 6,            random,10,  0.32,  0.04,     ----- *-        |                   ,  0.17,  0.43
#
 7,        baseline,1599,  0.44,  0.09,          ---      *-|--                 ,  0.15,  0.76
