#
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,      EXPLORE/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,     exploit/False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 1,     EXPLORE/False,20,  0.00,  0.01, *                   |                   ,  0.00,  0.20
 1,      EXPLORE/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02
#
 2,            random,30,  0.01,  0.01, *                   |                   ,  0.00,  0.04
 2,      exploit/True,10,  0.01,  0.03, * -------------     |                   ,  0.00,  0.24
 2,            random,20,  0.01,  0.02, *-                  |                   ,  0.00,  0.03
 2,            random,40,  0.01,  0.01, *                   |                   ,  0.00,  0.03
 2,     EXPLORE/False,10,  0.01,  0.03, * --                |                   ,  0.00,  0.06
 2,     exploit/False,10,  0.01,  0.02,  *-                 |                   ,  0.00,  0.21
 2,            random,10,  0.02,  0.02,  *                  |                   ,  0.00,  0.04
#
 3,      EXPLORE/True,10,  0.02,  0.01,  *                  |                   ,  0.00,  0.06
#
 4,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57
