#
 0,     EXPLORE/False,30,  0.20,  0.05,  -- *  --           |                   ,  0.13,  0.27
 0,      exploit/True,30,  0.20,  0.07,  -- *   --          |                   ,  0.13,  0.33
 0,     exploit/False,40,  0.21,  0.03,  --  *--            |                   ,  0.13,  0.28
 0,            random,40,  0.21,  0.01,  ----*----          |                   ,  0.16,  0.30
 0,      EXPLORE/True,40,  0.21,  0.06,      * --           |                   ,  0.16,  0.28
#
 1,      exploit/True,40,  0.21,  0.05,    - * ---          |                   ,  0.16,  0.29
 1,     EXPLORE/False,40,  0.22,  0.07,      *  -           |                   ,  0.16,  0.28
 1,     exploit/False,30,  0.24,  0.07,        *--          |                   ,  0.16,  0.30
 1,      EXPLORE/True,30,  0.24,  0.06,    -   *-           |                   ,  0.13,  0.30
#
 2,      EXPLORE/True,20,  0.24,  0.05,    --  * --         |                   ,  0.18,  0.35
 2,            random,30,  0.24,  0.07,        *--          |                   ,  0.16,  0.29
 2,     EXPLORE/False,20,  0.25,  0.06,    --   *---        |                   ,  0.18,  0.33
 2,     exploit/False,20,  0.26,  0.04,   ----- * ----      |                   ,  0.13,  0.36
#
 3,            random,20,  0.26,  0.02,      --- *-         |                   ,  0.19,  0.32
 3,      exploit/True,20,  0.26,  0.09,          * ---      |                   ,  0.13,  0.37
 3,     EXPLORE/False,10,  0.28,  0.05,      ---  * ---     |                   ,  0.19,  0.37
 3,      exploit/True,10,  0.28,  0.07,    ---    *----     |                   ,  0.13,  0.39
 3,     exploit/False,10,  0.29,  0.07,      ---  *  --     |                   ,  0.19,  0.37
 3,      EXPLORE/True,10,  0.29,  0.08,      ---  *  ----   |                   ,  0.20,  0.43
#
 4,            random,10,  0.29,  0.06,        --  * ----   |                   ,  0.16,  0.45
#
 5,        baseline,1000,  0.47,  0.11,            -------  | *   -----         ,  0.16,  0.71
