#
 0,            random,40,  0.39,  0.03,          -- *       |                   ,  0.34,  0.44
 0,     EXPLORE/False,40,  0.39,  0.02,           - *-      |                   ,  0.23,  0.43
 0,      exploit/True,20,  0.40,  0.04,    -------- *-      |                   ,  0.20,  0.44
 0,      EXPLORE/True,40,  0.40,  0.04,          -- *-      |                   ,  0.20,  0.43
#
 1,     exploit/False,40,  0.40,  0.04,           - *       |                   ,  0.20,  0.43
 1,      exploit/True,30,  0.40,  0.02,            - *      |                   ,  0.28,  0.43
 1,      EXPLORE/True,30,  0.41,  0.03,          --- *      |                   ,  0.28,  0.43
 1,            random,20,  0.41,  0.02,            - *      |                   ,  0.36,  0.44
 1,            random,30,  0.41,  0.03,            - *      |                   ,  0.31,  0.43
#
 2,      exploit/True,40,  0.41,  0.03,         ---- *      |                   ,  0.20,  0.43
 2,     exploit/False,20,  0.41,  0.02,         -----*      |                   ,  0.20,  0.44
 2,     exploit/False,30,  0.42,  0.02,            - *      |                   ,  0.20,  0.43
 2,     EXPLORE/False,30,  0.42,  0.02,            -- *     |                   ,  0.36,  0.44
 2,            random,10,  0.42,  0.02,             - *     |                   ,  0.36,  0.45
 2,      exploit/True,10,  0.42,  0.03,            -- *     |                   ,  0.30,  0.45
#
 3,      EXPLORE/True,20,  0.43,  0.02,             - *     |                   ,  0.35,  0.44
 3,     exploit/False,10,  0.43,  0.03,             - *-    |                   ,  0.37,  0.70
 3,     EXPLORE/False,20,  0.43,  0.02,            -- *     |                   ,  0.32,  0.44
 3,      EXPLORE/True,10,  0.43,  0.01,              -*     |                   ,  0.41,  0.44
 3,     EXPLORE/False,10,  0.43,  0.03,             - *     |                   ,  0.16,  0.45
#
 4,       baseline,10000,  0.70,  0.25,               -     |       *--         ,  0.16,  0.90
