#
 0,            random,10,  0.00,  0.00, *                   |                   ,  0.00,  0.71
#
 1,     exploit/False,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,     EXPLORE/False,10,  0.00,  0.00, *-------------------|---------          ,  0.00,  0.71
 2,      exploit/True,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,      EXPLORE/True,10,  0.00,  0.00, *-------------------|---------          ,  0.00,  0.71
 2,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,     exploit/False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,     EXPLORE/False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,      EXPLORE/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,      EXPLORE/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 2,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 3,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 4,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 5,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 6,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 7,       baseline,10000,  0.86,  0.16, --------------------|---------      *   ,  0.00,  0.94
