#
 0,     EXPLORE/False,20,  0.41,  0.01, ---*-               |                   ,  0.38,  0.43
 0,      exploit/True,20,  0.41,  0.01, ---*-               |                   ,  0.38,  0.43
 0,      EXPLORE/True,20,  0.41,  0.01,    *-               |                   ,  0.38,  0.43
 0,     exploit/False,30,  0.41,  0.01, ---*                |                   ,  0.38,  0.42
 0,     EXPLORE/False,30,  0.41,  0.00,    *                |                   ,  0.38,  0.41
 0,      exploit/True,30,  0.41,  0.01, ---*                |                   ,  0.38,  0.43
 0,      EXPLORE/True,30,  0.41,  0.00,    *                |                   ,  0.38,  0.42
 0,     exploit/False,40,  0.41,  0.00, ---*                |                   ,  0.38,  0.42
 0,     EXPLORE/False,40,  0.41,  0.00,    *                |                   ,  0.38,  0.42
 0,      exploit/True,40,  0.41,  0.01, ---*                |                   ,  0.38,  0.43
 0,      EXPLORE/True,40,  0.41,  0.00,    *                |                   ,  0.38,  0.41
#
 1,     EXPLORE/False,10,  0.42,  0.01,     *               |                   ,  0.38,  0.48
 1,     exploit/False,20,  0.42,  0.01,     *               |                   ,  0.38,  0.43
#
 2,     exploit/False,10,  0.43,  0.01,    - *----          |                   ,  0.41,  0.48
 2,      exploit/True,10,  0.43,  0.00,    --*--            |                   ,  0.38,  0.45
#
 3,      EXPLORE/True,10,  0.43,  0.01,    - *--            |                   ,  0.38,  0.46
#
 4,            random,40,  0.43,  0.02, ---  *---           |                   ,  0.38,  0.46
#
 5,            random,30,  0.44,  0.03, -----  * -          |                   ,  0.38,  0.47
#
 6,            random,20,  0.46,  0.05,          *--        |                   ,  0.38,  0.49
#
 7,            random,10,  0.48,  0.01,         --*-        |                   ,  0.42,  0.49
#
 8,          baseline,93,  0.49,  0.02,      ----- *-       |                   ,  0.38,  0.76
