#
 0,     exploit/False,40,  0.07,  0.03, *---                |                   ,  0.07,  0.26
 0,      EXPLORE/True,40,  0.07,  0.01, *-------            |                   ,  0.07,  0.25
#
 1,     EXPLORE/False,30,  0.10,  0.08,  *  --              |                   ,  0.07,  0.29
 1,     EXPLORE/False,40,  0.10,  0.08,  *  ---             |                   ,  0.07,  0.26
 1,      exploit/True,40,  0.10,  0.11,  *   -              |                   ,  0.07,  0.29
#
 2,     exploit/False,30,  0.15,  0.08, -   *----           |                   ,  0.07,  0.30
 2,      exploit/True,30,  0.15,  0.12,     *               |                   ,  0.07,  0.24
#
 3,      EXPLORE/True,30,  0.16,  0.05, ----* -             |                   ,  0.07,  0.30
 3,     EXPLORE/False,20,  0.18,  0.10, ---- *  --          |                   ,  0.07,  0.33
#
 4,            random,40,  0.18,  0.06, ---- *--            |                   ,  0.07,  0.26
 4,            random,20,  0.18,  0.09,  --- *  ---         |                   ,  0.07,  0.32
 4,            random,30,  0.18,  0.07,  --- * --           |                   ,  0.07,  0.28
 4,      exploit/True,20,  0.19,  0.13, --    *  -          |                   ,  0.07,  0.30
 4,     exploit/False,20,  0.20,  0.12, --    * -           |                   ,  0.07,  0.34
#
 5,      EXPLORE/True,20,  0.22,  0.11, ----   * ----       |                   ,  0.07,  0.38
 5,            random,10,  0.23,  0.14,     -  *    --      |                   ,  0.07,  0.41
 5,     exploit/False,10,  0.23,  0.07,   ---  * -----      |                   ,  0.07,  0.43
 5,     EXPLORE/False,10,  0.23,  0.09,     -- *  -------   |                   ,  0.07,  0.49
 5,      exploit/True,10,  0.24,  0.09, ------  * ----      |                   ,  0.07,  0.40
#
 6,      EXPLORE/True,10,  0.30,  0.10,      --    *-       |                   ,  0.07,  0.38
#
 7,         baseline,500,  0.52,  0.17,            ------   |*   -----          ,  0.07,  0.90
