#
 0,      exploit/True,40,  0.04,  0.02, - *-                |                   ,  0.00,  0.11
 0,            random,30,  0.05,  0.07, - *  --             |                   ,  0.00,  0.16
 0,     exploit/False,40,  0.05,  0.02, - *--               |                   ,  0.00,  0.17
#
 1,      EXPLORE/True,40,  0.06,  0.06, - * ----            |                   ,  0.02,  0.17
 1,      EXPLORE/True,30,  0.06,  0.02, -  *----            |                   ,  0.00,  0.20
 1,            random,40,  0.06,  0.02,  - *-               |                   ,  0.02,  0.14
 1,     exploit/False,30,  0.06,  0.05,  - * ---            |                   ,  0.00,  0.19
 1,      exploit/True,30,  0.06,  0.06, -- * --             |                   ,  0.02,  0.17
 1,     EXPLORE/False,40,  0.06,  0.04, -- *---             |                   ,  0.02,  0.20
 1,     EXPLORE/False,30,  0.06,  0.06, -  * --             |                   ,  0.02,  0.15
 1,     EXPLORE/False,20,  0.07,  0.04,  - *----            |                   ,  0.02,  0.17
 1,      EXPLORE/True,20,  0.07,  0.05,  --* ----           |                   ,  0.02,  0.26
#
 2,      exploit/True,10,  0.09,  0.10,   - *   ----------  |                   ,  0.04,  0.42
 2,            random,20,  0.10,  0.08,  -- *  -            |                   ,  0.00,  0.17
 2,     exploit/False,20,  0.10,  0.09,     *  -            |                   ,  0.04,  0.22
 2,      exploit/True,20,  0.10,  0.09,   -  * ----         |                   ,  0.02,  0.29
#
 3,      EXPLORE/True,10,  0.14,  0.10,   -    *-------     |                   ,  0.00,  0.32
#
 4,     exploit/False,10,  0.15,  0.06,  ---   *---         |                   ,  0.02,  0.22
 4,     EXPLORE/False,10,  0.15,  0.03,      -- *----       |                   ,  0.06,  0.28
#
 5,            random,10,  0.17,  0.10, ----    * ---       |                   ,  0.00,  0.30
#
 6,         baseline,500,  0.41,  0.16,         --------    |*  -----           ,  0.00,  0.77
