#
 0,     exploit/False,40,  0.26,  0.04, ------* --          |                   ,  0.15,  0.36
 0,     EXPLORE/False,40,  0.26,  0.06, ----  *--           |                   ,  0.15,  0.34
 0,      exploit/True,40,  0.26,  0.04,       *-            |                   ,  0.15,  0.31
#
 1,      EXPLORE/True,40,  0.26,  0.03,     --*---          |                   ,  0.15,  0.47
 1,     EXPLORE/False,20,  0.28,  0.07,     -- * --         |                   ,  0.15,  0.38
 1,     exploit/False,30,  0.28,  0.07,     -- *  -         |                   ,  0.15,  0.37
 1,     EXPLORE/False,30,  0.28,  0.05,     ---* --         |                   ,  0.15,  0.41
 1,      EXPLORE/True,30,  0.28,  0.03,       -*---         |                   ,  0.15,  0.38
 1,     exploit/False,20,  0.30,  0.06,     --  *---        |                   ,  0.15,  0.38
 1,      exploit/True,30,  0.30,  0.07,     --  *-          |                   ,  0.15,  0.35
 1,            random,40,  0.30,  0.06,       - * -         |                   ,  0.23,  0.36
#
 2,            random,20,  0.32,  0.06,     ---  *          |                   ,  0.15,  0.38
 2,      exploit/True,20,  0.32,  0.06,       -  *----      |                   ,  0.26,  0.42
 2,      EXPLORE/True,20,  0.33,  0.03,       -- *--        |                   ,  0.23,  0.38
#
 3,            random,30,  0.33,  0.06,     ---- *          |                   ,  0.15,  0.39
 3,      exploit/True,10,  0.33,  0.03,        --* --       |                   ,  0.27,  0.52
#
 4,      EXPLORE/True,10,  0.36,  0.07,     ------ *  ----  |                   ,  0.15,  0.50
 4,     exploit/False,10,  0.36,  0.06,        --  *-       |                   ,  0.23,  0.43
 4,            random,10,  0.37,  0.05,        --   *-----  |                   ,  0.23,  0.57
#
 5,     EXPLORE/False,10,  0.37,  0.09,        --   * -     |                   ,  0.15,  0.50
#
 6,         baseline,500,  0.58,  0.15,              ------ |  *   ------       ,  0.15,  0.88
