#
 0,     exploit/False,30,  0.07,  0.00,  *--                |                   ,  0.04,  0.12
 0,     EXPLORE/False,40,  0.07,  0.01, -*--                |                   ,  0.04,  0.12
 0,      EXPLORE/True,40,  0.07,  0.02, -*                  |                   ,  0.04,  0.09
 0,      EXPLORE/True,30,  0.07,  0.02,  *-                 |                   ,  0.04,  0.13
 0,     EXPLORE/False,30,  0.07,  0.03,  * -                |                   ,  0.04,  0.17
 0,      exploit/True,40,  0.08,  0.03,   *--               |                   ,  0.04,  0.13
#
 1,     exploit/False,20,  0.08,  0.03,   *--               |                   ,  0.04,  0.16
 1,     exploit/False,40,  0.08,  0.03, - *                 |                   ,  0.04,  0.12
 1,      exploit/True,30,  0.08,  0.02,   *---              |                   ,  0.06,  0.15
 1,            random,30,  0.09,  0.01,  -*---              |                   ,  0.07,  0.18
 1,            random,20,  0.09,  0.01,  -*-                |                   ,  0.04,  0.14
#
 2,     EXPLORE/False,20,  0.09,  0.04,   *----             |                   ,  0.06,  0.21
 2,            random,40,  0.09,  0.02,  -*-                |                   ,  0.04,  0.15
 2,      exploit/True,20,  0.09,  0.03,  -*--               |                   ,  0.04,  0.14
#
 3,      EXPLORE/True,20,  0.09,  0.04,   * --              |                   ,  0.04,  0.19
#
 4,      EXPLORE/True,10,  0.11,  0.02,  - *----            |                   ,  0.06,  0.23
#
 5,     EXPLORE/False,10,  0.12,  0.02,   --*----           |                   ,  0.06,  0.24
 5,     exploit/False,10,  0.14,  0.05,  --- *              |                   ,  0.06,  0.23
#
 6,            random,10,  0.15,  0.03,    - *              |                   ,  0.04,  0.21
 6,      exploit/True,10,  0.15,  0.06,   --  *--           |                   ,  0.06,  0.24
#
 7,         baseline,500,  0.33,  0.19,      -----      *   |------             ,  0.04,  0.76
