#
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,      EXPLORE/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,        baseline,3840,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,     EXPLORE/False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,     exploit/False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,     EXPLORE/False,10,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,     exploit/False,10,  0.00,  0.00, *-                  |                   ,  0.00,  0.00
