#
 0,      exploit/True,40,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,     exploit/False,40,  0.01,  0.00, -*                  |                   ,  0.01,  0.01
 0,      exploit/True,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,     exploit/False,20,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
 0,     exploit/False,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.02
#
 1,      exploit/True,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02
#
 2,     exploit/False,10,  0.01,  0.00,  *                  |                   ,  0.00,  0.02
#
 3,      exploit/True,10,  0.02,  0.00,  *---               |                   ,  0.01,  0.06
 3,            random,30,  0.02,  0.00,  *                  |                   ,  0.00,  0.02
#
 4,            random,40,  0.02,  0.00,  *                  |                   ,  0.00,  0.02
 4,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.02
 4,            random,10,  0.02,  0.00,  *-                 |                   ,  0.01,  0.04
 4,     EXPLORE/False,30,  0.02,  0.02,  * ---              |                   ,  0.01,  0.15
#
 5,      EXPLORE/True,30,  0.02,  0.02,  -*                 |                   ,  0.01,  0.05
 5,     EXPLORE/False,40,  0.02,  0.01,   *----             |                   ,  0.00,  0.15
 5,      EXPLORE/True,10,  0.02,  0.03,  -* ---             |                   ,  0.01,  0.20
 5,      EXPLORE/True,40,  0.02,  0.01,   *--               |                   ,  0.01,  0.19
 5,      EXPLORE/True,20,  0.02,  0.01,  -*-----            |                   ,  0.01,  0.13
 5,     EXPLORE/False,20,  0.03,  0.03,   *  ---            |                   ,  0.01,  0.11
#
 6,     EXPLORE/False,10,  0.04,  0.03,  - * -              |                   ,  0.01,  0.08
#
 7,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37
