#
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      EXPLORE/True,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.08
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.02
#
 1,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.07
 1,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
#
 2,     EXPLORE/False,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.09
 2,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 2,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 2,     exploit/False,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.09
 2,      EXPLORE/True,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.07
 2,     EXPLORE/False,10,  0.00,  0.01, *-                  |                   ,  0.00,  0.06
#
 3,      EXPLORE/True,10,  0.00,  0.01, *-                  |                   ,  0.00,  0.33
 3,            random,10,  0.01,  0.01, *                   |                   ,  0.00,  0.08
 3,     exploit/False,10,  0.01,  0.01, *-------            |                   ,  0.00,  0.26
#
 4,      exploit/True,10,  0.05,  0.06,   *---              |                   ,  0.00,  0.19
#
 5,         baseline,196,  0.26,  0.13, -------   * ------  |                   ,  0.00,  1.00
