#
 0,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 1,      EXPLORE/True,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.07
 1,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,     EXPLORE/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 1,     exploit/False,20,  0.00,  0.01, *                   |                   ,  0.00,  0.06
 1,     EXPLORE/False,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.08
 1,      EXPLORE/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 1,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 2,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 2,     EXPLORE/False,10,  0.00,  0.01, *-                  |                   ,  0.00,  0.08
 2,            random,10,  0.00,  0.01, *                   |                   ,  0.00,  0.10
#
 3,      EXPLORE/True,10,  0.00,  0.01, *-                  |                   ,  0.00,  0.08
 3,     exploit/False,10,  0.01,  0.01, *-------            |                   ,  0.00,  0.25
#
 4,      exploit/True,10,  0.04,  0.05,  *----              |                   ,  0.00,  0.20
#
 5,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00
