#
 0,      exploit/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05
 0,     exploit/False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 0,     EXPLORE/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.05
#
 1,      EXPLORE/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 1,     EXPLORE/False,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.06
 1,      EXPLORE/True,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.08
 1,     EXPLORE/False,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.08
 1,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,      EXPLORE/True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 1,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01
 1,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06
 1,     EXPLORE/False,10,  0.00,  0.01, *-                  |                   ,  0.00,  0.10
 1,     exploit/False,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.07
 1,     exploit/False,10,  0.01,  0.01, *-                  |                   ,  0.00,  0.19
#
 2,            random,10,  0.01,  0.00, *                   |                   ,  0.00,  0.17
 2,      EXPLORE/True,10,  0.01,  0.01, *-                  |                   ,  0.00,  0.21
#
 3,      exploit/True,10,  0.05,  0.05,  *-----             |                   ,  0.00,  0.19
#
 4,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00
