#
 0,      exploit/True,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.06
 0,      exploit/True,40,  0.00,  0.00, *---                |                   ,  0.00,  0.05
 0,      exploit/True,20,  0.00,  0.00, *-------            |                   ,  0.00,  0.17
 0,     exploit/False,20,  0.00,  0.00, *------             |                   ,  0.00,  0.11
 0,     exploit/False,40,  0.00,  0.02, * --                |                   ,  0.00,  0.12
 0,     exploit/False,30,  0.00,  0.02, * ---------------   |                   ,  0.00,  0.17
 0,            random,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.07
 0,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.01
#
 1,            random,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.08
 1,     exploit/False,10,  0.01,  0.00, *-------            |                   ,  0.00,  0.16
#
 2,      EXPLORE/True,40,  0.01,  0.04,  *  ----            |                   ,  0.00,  0.12
 2,            random,10,  0.01,  0.02,  *----              |                   ,  0.00,  0.08
 2,      EXPLORE/True,20,  0.02,  0.05,   *  --             |                   ,  0.00,  0.08
 2,      exploit/True,10,  0.02,  0.04,   *  ---------      |                   ,  0.00,  0.17
#
 3,      EXPLORE/True,10,  0.02,  0.05, --*    -------      |                   ,  0.00,  0.15
 3,     EXPLORE/False,30,  0.02,  0.02, --* ---             |                   ,  0.00,  0.15
 3,     EXPLORE/False,10,  0.02,  0.03, - * --              |                   ,  0.00,  0.08
 3,      EXPLORE/True,30,  0.04,  0.05,     *-              |                   ,  0.00,  0.17
 3,     EXPLORE/False,40,  0.05,  0.05, --  *  -            |                   ,  0.00,  0.16
 3,     EXPLORE/False,20,  0.05,  0.05,     *---            |                   ,  0.00,  0.24
#
 4,        baseline,2880,  0.06,  0.05, ----  *  -----      |                   ,  0.00,  0.39
