#
 0,     EXPLORE/False,40,  0.03,  0.03, -*--                |                   ,  0.01,  0.16
 0,     exploit/False,40,  0.03,  0.04, -* ---              |                   ,  0.00,  0.17
 0,      exploit/True,40,  0.03,  0.04, -* -                |                   ,  0.01,  0.13
 0,     exploit/False,30,  0.03,  0.04, - *-                |                   ,  0.01,  0.11
#
 1,     EXPLORE/False,30,  0.04,  0.03,   *--               |                   ,  0.01,  0.10
 1,      EXPLORE/True,40,  0.04,  0.01, --*                 |                   ,  0.01,  0.08
 1,     exploit/False,20,  0.05,  0.03,   *-                |                   ,  0.01,  0.09
#
 2,      exploit/True,30,  0.05,  0.04,  -* --              |                   ,  0.02,  0.11
 2,      EXPLORE/True,30,  0.05,  0.03,  - *-               |                   ,  0.01,  0.10
#
 3,     EXPLORE/False,20,  0.06,  0.02,   -*--              |                   ,  0.02,  0.13
 3,            random,40,  0.06,  0.03,   -* -              |                   ,  0.01,  0.11
 3,      exploit/True,20,  0.07,  0.04,  -  *--             |                   ,  0.00,  0.14
 3,            random,30,  0.07,  0.03,   - *--             |                   ,  0.02,  0.12
#
 4,      EXPLORE/True,20,  0.08,  0.03,  -- *---            |                   ,  0.02,  0.14
 4,     exploit/False,10,  0.08,  0.06,   - * ---           |                   ,  0.02,  0.17
 4,            random,20,  0.09,  0.03, ---- *              |                   ,  0.01,  0.13
#
 5,      exploit/True,10,  0.09,  0.04,    - * --           |                   ,  0.01,  0.17
 5,            random,10,  0.09,  0.03,   -- *--            |                   ,  0.04,  0.16
 5,     EXPLORE/False,10,  0.10,  0.05,    - * --           |                   ,  0.05,  0.17
#
 6,      EXPLORE/True,10,  0.12,  0.05,    --  *-           |                   ,  0.05,  0.18
#
 7,       baseline,10000,  0.25,  0.10,        ----   *  ---|---                ,  0.02,  0.67
