#
 0,     EXPLORE/False,40,  0.04,  0.03, --*                 |                   ,  0.01,  0.09
 0,      exploit/True,40,  0.05,  0.03,  -* --              |                   ,  0.03,  0.11
 0,     exploit/False,30,  0.05,  0.02,  -*----             |                   ,  0.01,  0.13
 0,     exploit/False,40,  0.06,  0.03,  - *-               |                   ,  0.02,  0.10
#
 1,      exploit/True,30,  0.06,  0.03,    *-----           |                   ,  0.01,  0.15
 1,      EXPLORE/True,40,  0.07,  0.04,  -  *-              |                   ,  0.01,  0.10
 1,      EXPLORE/True,20,  0.08,  0.03,   - *---            |                   ,  0.02,  0.18
#
 2,      EXPLORE/True,30,  0.08,  0.03,   -  *-             |                   ,  0.01,  0.11
 2,            random,40,  0.08,  0.02,   -  *--            |                   ,  0.01,  0.13
 2,     EXPLORE/False,30,  0.09,  0.04,  --- *--            |                   ,  0.02,  0.16
#
 3,      exploit/True,20,  0.09,  0.03,   -- *-             |                   ,  0.03,  0.13
 3,            random,30,  0.09,  0.04,   -- * --           |                   ,  0.04,  0.14
 3,            random,20,  0.09,  0.04,   --- * --          |                   ,  0.04,  0.20
 3,     exploit/False,20,  0.09,  0.04,    -  *----         |                   ,  0.04,  0.20
#
 4,     EXPLORE/False,20,  0.10,  0.03,   --- *---          |                   ,  0.03,  0.18
 4,     exploit/False,10,  0.11,  0.06,    --  * ---        |                   ,  0.05,  0.19
 4,      exploit/True,10,  0.11,  0.06,     -- *  --        |                   ,  0.06,  0.28
 4,            random,10,  0.12,  0.04,      - * --         |                   ,  0.04,  0.18
 4,     EXPLORE/False,10,  0.12,  0.09,         *  --       |                   ,  0.06,  0.20
#
 5,      EXPLORE/True,10,  0.14,  0.06,     --   *---       |                   ,  0.01,  0.23
#
 6,       baseline,10000,  0.26,  0.10,           ----    * |------             ,  0.03,  0.57
