#
 0,     EXPLORE/False,40,  0.03,  0.04, -* --               |                   ,  0.02,  0.14
 0,      EXPLORE/True,40,  0.04,  0.03, -* -                |                   ,  0.02,  0.09
 0,     exploit/False,40,  0.04,  0.02, -*--                |                   ,  0.01,  0.09
 0,      exploit/True,40,  0.04,  0.02, -*--                |                   ,  0.02,  0.11
#
 1,      exploit/True,30,  0.05,  0.03,  -* ---             |                   ,  0.02,  0.14
 1,      EXPLORE/True,30,  0.06,  0.01,  -*--               |                   ,  0.02,  0.10
 1,     exploit/False,30,  0.06,  0.03, --*---              |                   ,  0.01,  0.12
 1,            random,40,  0.06,  0.02,    *                |                   ,  0.03,  0.13
#
 2,            random,30,  0.06,  0.03,  - *-               |                   ,  0.02,  0.10
 2,     exploit/False,20,  0.07,  0.04,  - *-               |                   ,  0.02,  0.10
 2,     EXPLORE/False,30,  0.07,  0.02,  --*--              |                   ,  0.04,  0.12
 2,     EXPLORE/False,20,  0.07,  0.03,   -* --             |                   ,  0.02,  0.13
#
 3,      exploit/True,20,  0.07,  0.05,     *--             |                   ,  0.02,  0.17
 3,      EXPLORE/True,20,  0.08,  0.03,  -- *-              |                   ,  0.02,  0.13
 3,      EXPLORE/True,10,  0.08,  0.04,    -*  ---          |                   ,  0.05,  0.18
 3,            random,20,  0.10,  0.05,  --  *              |                   ,  0.02,  0.14
#
 4,      exploit/True,10,  0.10,  0.05,   -- *  -           |                   ,  0.03,  0.17
 4,     EXPLORE/False,10,  0.11,  0.07,   -   * ----        |                   ,  0.03,  0.21
 4,            random,10,  0.11,  0.06,       * --          |                   ,  0.06,  0.17
 4,     exploit/False,10,  0.12,  0.08,   -    *--          |                   ,  0.02,  0.19
#
 5,       baseline,10000,  0.23,  0.09,        ----   *  ---|-                  ,  0.02,  0.61
