#
 0,     exploit/False,40,  0.12,  0.05,  -* -               |                   ,  0.09,  0.18
 0,      exploit/True,40,  0.13,  0.04, - * -               |                   ,  0.07,  0.18
 0,      EXPLORE/True,40,  0.13,  0.03,  -*                 |                   ,  0.08,  0.17
 0,     EXPLORE/False,40,  0.13,  0.03,  -*--               |                   ,  0.08,  0.18
 0,     exploit/False,30,  0.14,  0.02,  - *-               |                   ,  0.08,  0.23
#
 1,     EXPLORE/False,30,  0.14,  0.03,  --*-               |                   ,  0.09,  0.18
 1,      exploit/True,30,  0.14,  0.06,  - * --             |                   ,  0.07,  0.22
#
 2,      EXPLORE/True,20,  0.15,  0.05,  -- *---            |                   ,  0.09,  0.22
 2,            random,40,  0.15,  0.03,   - *-              |                   ,  0.09,  0.20
 2,      EXPLORE/True,30,  0.15,  0.04,   - *-              |                   ,  0.10,  0.20
#
 3,     exploit/False,20,  0.16,  0.04,   - *--             |                   ,  0.11,  0.26
 3,      exploit/True,20,  0.16,  0.04,   - *---            |                   ,  0.10,  0.25
#
 4,            random,20,  0.16,  0.05,   --* -             |                   ,  0.11,  0.24
 4,      exploit/True,10,  0.17,  0.05,   -  *----          |                   ,  0.11,  0.33
 4,            random,30,  0.17,  0.01,    --*-             |                   ,  0.09,  0.21
 4,     EXPLORE/False,20,  0.18,  0.04,   -  *---           |                   ,  0.11,  0.27
#
 5,      EXPLORE/True,10,  0.19,  0.07,   --  * -           |                   ,  0.11,  0.29
 5,            random,10,  0.20,  0.06,    -- *  ----       |                   ,  0.10,  0.35
#
 6,     exploit/False,10,  0.23,  0.09,    --   *--         |                   ,  0.12,  0.34
 6,     EXPLORE/False,10,  0.23,  0.10,     -   * ---       |                   ,  0.11,  0.38
#
 7,       baseline,10000,  0.36,  0.11,        -----   *  --|---                ,  0.08,  0.83
